Protein Group,Protein ID,Accession,Score (%),-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1,22,Q72JN7|Q72JN7_THET2,99.2,426.00,86,75,75,Oxidation (M); Carbamidomethylation,42217,Membrane lipoprotein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0733 PE=3 SV=1
6,7,sp|P61490|CH60_THET2,99.2,404.27,40,48,45,Oxidation (M); Formylation,57889,Chaperonin GroEL OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=groEL PE=1 SV=2
2,1,sp|Q72GW4|EFTU_THET2,99.2,358.46,70,48,45,Oxidation (M); Formylation; Carbamidomethylation,44782,Elongation factor Tu OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=tuf1 PE=3 SV=1
4,2,Q72L90|Q72L90_THET2,99.2,349.46,64,45,43,Oxidation (M),42080,Succinate--CoA ligase [ADP-forming] subunit beta OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=sucC PE=3 SV=1
11,4,Q72GZ7|Q72GZ7_THET2,99.2,345.91,52,40,36,Oxidation (M); Formylation; Carbamidomethylation,101002,Oxoglutarate dehydrogenase (succinyl-transferring) OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1698 PE=4 SV=1
13,26,Q72HS2|Q72HS2_THET2,99.2,341.85,70,28,26,Oxidation (M),32988,Fructose-bisphosphate aldolase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1414 PE=4 SV=1
3,34,Q72IL3|Q72IL3_THET2,99.2,339.35,87,54,53,Oxidation (M),25667,Heat-stable protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1119 PE=4 SV=1
15,8,sp|Q72I01|EFG_THET2,99.2,329.15,51,26,25,Oxidation (M),76911,Elongation factor G OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=fusA PE=1 SV=1
12,15,Q72J15|Q72J15_THET2,99.2,325.17,60,44,41,Oxidation (M),41634,Leucine-  isoleucine-  valine-  threonine-  and alanine-binding protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0966 PE=3 SV=1
17,5,sp|Q72GY7|PCKA_THET2,99.2,324.84,49,27,27,Oxidation (M); Carbamidomethylation,59315,Phosphoenolpyruvate carboxykinase (ATP) OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=pckA PE=3 SV=1
