Protein Group,Protein ID,Accession,Score (%),-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1,22,Q72JN7|Q72JN7_THET2,99.2,486.21,83,65,64,Oxidation (M); Carbamidomethylation,42217,Membrane lipoprotein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0733 PE=3 SV=1
3,7,sp|P61490|CH60_THET2,99.2,485.90,41,42,41,Oxidation (M),57889,Chaperonin GroEL OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=groEL PE=1 SV=2
4,1,sp|Q72GW4|EFTU_THET2,99.2,426.36,66,39,39,Oxidation (M); Formylation,44782,Elongation factor Tu OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=tuf1 PE=3 SV=1
6,16,Q72IL1|Q72IL1_THET2,99.2,421.22,62,32,31,Oxidation (M),44674,Uncharacterized protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1121 PE=4 SV=1
10,4,Q72GZ7|Q72GZ7_THET2,99.2,417.46,48,34,31,Oxidation (M),101002,Oxoglutarate dehydrogenase (succinyl-transferring) OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1698 PE=4 SV=1
11,8,sp|Q72I01|EFG_THET2,99.2,377.28,41,24,21,Oxidation (M),76911,Elongation factor G OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=fusA PE=1 SV=1
8,2,Q72L90|Q72L90_THET2,99.2,375.92,53,28,26,Oxidation (M),42080,Succinate--CoA ligase [ADP-forming] subunit beta OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=sucC PE=3 SV=1
2,34,Q72IL3|Q72IL3_THET2,99.2,374.20,88,47,45,Oxidation (M),25667,Heat-stable protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1119 PE=4 SV=1
7,14,Q72J03|Q72J03_THET2,99.2,371.35,67,41,38,Oxidation (M); Carbamidomethylation,42285,Citrate synthase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0978 PE=3 SV=1
52,12,sp|Q72HM6|RPOC_THET2,99.2,358.30,17,19,19,Carbamidomethylation,170717,DNA-directed RNA polymerase subunit beta' OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=rpoC PE=3 SV=2
21,15,Q72J15|Q72J15_THET2,99.2,358.07,58,25,24,Oxidation (M),41634,Leucine-  isoleucine-  valine-  threonine-  and alanine-binding protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0966 PE=3 SV=1
26,26,Q72HS2|Q72HS2_THET2,99.2,355.43,77,19,19,Oxidation (M),32988,Fructose-bisphosphate aldolase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C1414 PE=4 SV=1
18,5,sp|Q72GY7|PCKA_THET2,99.2,355.13,42,24,24,,59315,Phosphoenolpyruvate carboxykinase (ATP) OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=pckA PE=3 SV=1
15,6,Q72KN3|Q72KN3_THET2,99.2,354.55,34,28,26,Oxidation (M),99771,Aconitate hydratase OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0374 PE=3 SV=1
